method,phase,round,auc_pr,best_threshold,fraud_precision,fraud_recall,fraud_f1,best_val_auc_pr_so_far
clean_fl_earlystop,validation,1,0.10274185251538884,0.7,0.0916913148695886,0.40789473684210525,0.14972557628979144,0.10274185251538884
clean_fl_earlystop,validation,2,0.10458982459481284,0.7,0.060834155972359326,0.5897129186602871,0.11029082774049218,0.10458982459481284
clean_fl_earlystop,validation,3,0.10463161583367213,0.7,0.06477288321668725,0.5645933014354066,0.11621322171611474,0.10463161583367213
clean_fl_earlystop,validation,4,0.10439073905028118,0.7,0.06205035971223022,0.5777511961722488,0.11206496519721577,0.10463161583367213
clean_fl_earlystop,validation,5,0.11527128300949231,0.7,0.06609117885082277,0.5861244019138756,0.11878787878787879,0.11527128300949231
clean_fl_earlystop,validation,6,0.09893247159105777,0.7,0.07993441278950604,0.4665071770334928,0.13648293963254593,0.11527128300949231
clean_fl_earlystop,validation,7,0.10477169937117664,0.7,0.06570557249792071,0.5669856459330144,0.1177639751552795,0.11527128300949231
clean_fl_earlystop,validation,8,0.10759467362194262,0.7,0.05583972719522592,0.6267942583732058,0.1025440313111546,0.11527128300949231
clean_fl_earlystop,validation,9,0.1132937613397738,0.7,0.054312786949301556,0.6650717703349283,0.10042445588368103,0.11527128300949231
clean_fl_earlystop,validation,10,0.1027028247764507,0.7,0.05879558142297185,0.5921052631578947,0.10696920583468396,0.11527128300949231
clean_fl_earlystop,test,5,0.1313284531017433,0.7,0.08304516129032258,0.5590687977762335,0.1446097155439716,0.11527128300949231
