phase,round,auc_pr,best_threshold,fraud_precision,fraud_recall,fraud_f1,best_val_auc_pr_so_far
validation,1,0.02547703701871776,0.7,0.025805119735755572,0.29904306220095694,0.047510452299505894,0.02547703701871776
validation,2,0.049122359423701585,0.7,0.03746318114874816,0.4868421052631579,0.06957264957264957,0.049122359423701585
validation,3,0.02553792254355803,0.7,0.027666399358460304,0.33014354066985646,0.051054384017758046,0.049122359423701585
validation,4,0.033912496170490525,0.7,0.027917094688500815,0.5526315789473685,0.05314926660914582,0.049122359423701585
validation,5,0.026281150166632357,0.7,0.03458844133099825,0.2834928229665072,0.06165452653485952,0.049122359423701585
validation,6,0.030184170558756995,0.7,0.025471546026116395,0.37799043062200954,0.04772692946684791,0.049122359423701585
validation,7,0.03414349175487452,0.7,0.02267546962194451,0.6901913875598086,0.04390837835781143,0.049122359423701585
validation,8,0.0236401503187403,0.6,0.031652839821314616,0.2966507177033493,0.05720216814669588,0.049122359423701585
validation,9,0.04629414707828506,0.7,0.032865939609763334,0.5299043062200957,0.06189311910583304,0.049122359423701585
validation,10,0.031528202525479235,0.7,0.030793319415448852,0.35287081339712917,0.05664362519201229,0.049122359423701585
test,2,0.06255742586125382,0.7,0.049904909487919986,0.4923558026407227,0.09062420056280379,0.049122359423701585
